Mephitis mephitis, 2.01, 8.21
Odocoileus hemionus, 1.99, 16
Lepus alleni, 4.48, 16.1
Odocoileus virginianus, 1.84, 17.3
Canis lupus, 21.8, 0.01
Puma concolor, 118, 0.02
Ursus arctos, 282, 0.02
Panthera onca, 29, 0.04
Lynx rufus, 28.4, 0.1
Canis latrans, 16.8, 0.25
Ursus americanus, 27.9, 0.73
Antilocapra americana, 9.68, 0.83
Lontra canadensis, 13.1, 1.13
Taxidea taxus, 3.05, 1.98
Galictis vittata, 2.8, 2.16
Urocyon cinereoargenteus, 1.64, 2.43
Procyon lotor, 4.13, 3.29
Nasua narica, 0.7, 6.11
Sciurus deppei, 0.01, 94.8
Spermophilus spilosoma, 0.00845, 123
Spermophilus variegatus, 0.02, 135
Sciurus aureogaster, 0.01, 221
Sylvilagus audubonii, 0.02, 290
Sylvilagus bachmani, 0.00201, 568
Sylvilagus floridanus, 0.01, 686
Spermophilus beecheyi, 0.000291, 1100
Spermophilus tereticaudus, 0.01, 1460
Cynomys ludovicianus, 0.00165, 1830
Castor canadensis, 0.05, 0.6
Dasypus novemcinctus, 0.03, 20.7
Cyclopes didactylus, 0.03, 32.6
Philander opossum, 0.00285, 59.2
Didelphis marsupialis, 0.14, 70.5
Sciurus aberti, 0.05, 114
Tapirus bairdii, 0.99, 0.34
Leopardus pardalis, 4.53, 0.43
Erethizon dorsatum, 0.09, 3.5
Bassariscus astutus, 0.66, 3.61
Tamandua mexicana, 0.2, 4.88
Sciurus niger, 0.2, 6.32
Ovis canadensis, 16.2, 1.51
Tayassu pecari, 9.85, 1.59
Eira barbara, 9.86, 1.8
Conepatus semistriatus, 0.23, 9.65
Lepus californicus, 0.5, 12
Ammospermophilus leucurus, 0.04, 14.5
Didelphis virginiana, 0.49, 17.9
Potos flavus, 0.2, 34.5
